,index,Size_Class,Curb_Wgt,ABS,Airbag_D,SSF,Drive,TireSize,StabilityControl,BrakeAssist,TractionControl,AdjUpperBeltFront,AdjUpperBeltRear,Pretensioner,IntegratedSeat,RearCtrLapShldrBelt,AdvanceAirbagFeature,SideAirbag,HeadAirbag,HeadAirbagRollover,RearSeatHeadRestraint,DynamicHeadRestraint,Roll_Stability,SafetyPowerWindows,WheelsDriven,DrStar_Num,PaStar_Num,DrSSTar_Num,PaSStar_Num
73,283,Heavy Passenger Car,3710.0,False,False,1.41,RWD,28.003937007874015,True,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,RWD/AWD,4,4,3,4
74,284,Medium Passenger Car,3305.0,False,False,1.37,FWD,25.46456692913386,True,False,True,True,False,False,True,True,True,True,True,False,True,False,False,False,FWD,4,4,4,3
75,286,Van,4332.0,False,False,1.28,FWD,26.62992125984252,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,False,FWD,4,4,3,4
76,287,Medium Passenger Car,3499.0,False,False,1.43,FWD,25.858267716535433,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,FWD,3,3,3,3
77,288,Heavy Passenger Car,3562.0,False,False,1.39,FWD,26.62992125984252,False,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,FWD,4,4,4,3
78,309,Heavy Passenger Car,4066.0,False,False,1.4,FWD,27.645669291338585,False,False,True,False,True,False,True,True,True,True,True,False,True,False,False,False,FWD,4,3,3,3
79,314,Sport Utility Vehicle,3162.0,False,False,1.29,FWD,25.311023622047244,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,False,FWD,4,4,4,4
80,348,Sport Utility Vehicle,4028.0,False,False,1.21,FWD,30.02755905511811,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,FWD/AWD,3,3,4,4
81,357,Heavy Passenger Car,4157.0,False,False,1.48,RWD,27.62992125984252,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,False,RWD,4,4,4,4
82,360,Sport Utility Vehicle,4354.0,False,False,1.24,FWD,28.952755905511815,True,False,True,True,False,False,False,True,True,True,True,False,True,False,False,False,AWD/FWD,4,4,4,4
83,362,Medium Passenger Car,3056.0,False,False,1.41,FWD,25.46456692913386,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,FWD,4,4,3,3
84,363,Medium Passenger Car,3056.0,False,False,1.46,FWD,25.68503937007874,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,FWD/AWD,4,4,2,3
85,366,Sport Utility Vehicle,3410.0,False,False,1.17,FWD,28.287401574803148,False,False,False,True,False,False,True,True,True,True,True,False,True,False,False,False,FWD/AWD,3,3,4,4
86,367,Sport Utility Vehicle,3437.0,False,False,1.19,FWD,27.8503937007874,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD/AWD,4,4,4,4
87,386,Sport Utility Vehicle,3606.0,False,False,1.19,RWD,28.515748031496063,True,True,True,True,False,False,True,True,True,True,True,False,True,False,False,False,RWD/AWD,3,3,4,4
